comm_code,name,class,ward,quadrant,bicycle,carpool_dr,carpool_pa,drovealone,motorcycle,nowork,transit,walk,work_home,total,shape_leng,shape_area,the_geom
SRI,SADDLE RIDGE INDUSTRIAL,Industrial,3,NE,0,0,0,5,0,14,0,0,0,19,"7,852","2,538,479","MULTIPOLYGON (((-113.97387999078308 51.111802348551336, -113.97517270193308 51.110616094227005, -113.97611823045575 51.110617831074805, -113.97811061553615 51.11061703526579, -113.9787387350658 51.11061680415544, -113.97892638463087 51.1106167050761, -113.98149860684251 51.110615650749025, -113.9816280245368 51.110615772736125, -113.98162943261575 51.111703656677236, -113.98163100713776 51.1131931925062, -113.98163535108922 51.11341074036633, -113.98164783992495 51.114922889973, -113.98165469211818 51.11566695683419, -113.98165547818826 51.11635093241683, -113.98164679153398 51.117338614488524, -113.98165361438285 51.11804220167733, -113.9816580575116 51.11885118539274, -113.98165303508004 51.11964192488044, -113.98166082685222 51.1208180070498, -113.98166623762685 51.12209918797775, -113.98167428527162 51.12327306903235, -113.98167400395776 51.12408151819507, -113.9816727660314 51.12424248326639, -113.98166608370802 51.12712872710054, -113.98166771107842 51.128362436442124, -113.98166928438434 51.12886675164295, -113.98165708308082 51.1295247077285, -113.98164553784707 51.13103884596309, -113.98164537641856 51.13148933094144, -113.98166094783438 51.132500231680865, -113.98165054161706 51.13976560196296, -113.98150475907666 51.13976557900161, -113.97002302399228 51.13975823672675, -113.97002931059829 51.13618863520937, -113.97012703295492 51.1361178482948, -113.97010651696533 51.132473499075545, -113.96996030620785 51.13247300134642, -113.96997433382882 51.13236060441246, -113.9699806626771 51.132299762640905, -113.96998876304848 51.131762976926694, -113.96998163673638 51.131046361100964, -113.96997675795528 51.12962908184084, -113.9699731430802 51.129213175162555, -113.96997132917396 51.12887753978107, -113.9699586530357 51.12704044610009, -113.96998573041927 51.12578878062831, -113.96998556602153 51.125215849469846, -113.96998844276753 51.125143615104754, -113.96997579572056 51.12493459535605, -113.9699257162808 51.124476143861074, -113.96987829636367 51.124232806282755, -113.9697851981446 51.12388156087663, -113.96978507945475 51.123441624553806, -113.96982645776414 51.12251943046531, -113.96984381165404 51.121881632650734, -113.9698377635484 51.12083764734641, -113.96983168110137 51.11987091951437, -113.96985915005605 51.11902375580688, -113.96994357343807 51.118337830954275, -113.97001955604173 51.117903257176984, -113.97004891395063 51.117723786031696, -113.97011309791202 51.117473517930115, -113.97020272470735 51.11713455837206, -113.97037300432244 51.11665396611732, -113.97057162833018 51.116139947405166, -113.97094903563254 51.11536376800699, -113.9711751610783 51.114959714277624, -113.97147726448193 51.11445181880056, -113.97188343234156 51.11389894280014, -113.9724295270812 51.11323591884251, -113.97301063753486 51.11263618912823, -113.97387999078308 51.111802348551336)))"
SOC,SOUTH CALGARY,Residential,8,SW,67,71,32,"1,172",1,488,311,82,107,"2,336","4,859","885,510","MULTIPOLYGON (((-114.09469234923003 51.02400255521421, -114.09469141650742 51.02354121096422, -114.09469072281622 51.023198591666116, -114.09542543526317 51.02319799941925, -114.09618355275136 51.023197383291595, -114.09688299505162 51.02319681000622, -114.09715289879082 51.023196587728485, -114.09759793712811 51.02319622048953, -114.09832485111289 51.02319561652645, -114.09909368037592 51.02319497250633, -114.09965160628985 51.0231733379521, -114.10054561385948 51.02319374308025, -114.102071371568 51.023192448236664, -114.10342999681592 51.02319128511258, -114.10452806466695 51.0231903332519, -114.10487938285084 51.023190026570305, -114.10557830033336 51.023189413398505, -114.10630636150495 51.02318877043752, -114.10698472610667 51.02318816754908, -114.10921725294577 51.023196959302794, -114.10944413233808 51.02319675243525, -114.11190043738294 51.023194488221634, -114.11249564558398 51.023193931142266, -114.11435806202134 51.02319217018796, -114.11687922768904 51.02318461006889, -114.117917523945 51.023253941608075, -114.11789117569846 51.02395546509088, -114.11650219726762 51.02394604786535, -114.11578652490535 51.02397676969651, -114.11414616480032 51.02397935256235, -114.11301632377156 51.023981883665456, -114.11190231444957 51.02398365961577, -114.10944596906646 51.0239865037328, -114.1094353385404 51.024444336511635, -114.10944811460162 51.02490857232054, -114.10942183335659 51.02536203087827, -114.10945027715569 51.025828134399404, -114.10943488453404 51.02628571888056, -114.10945244410209 51.02674769722764, -114.10942365003876 51.0272059684179, -114.10945461559645 51.02766853735143, -114.10945703694254 51.028122219629445, -114.1094568002048 51.02859550204153, -114.10945419578836 51.02904405759891, -114.10945896595724 51.029513806765664, -114.10944740866744 51.029963561780214, -114.10946112263274 51.03042881480875, -114.10719711491153 51.03043087027507, -114.10700137282498 51.03043104606193, -114.10454434109857 51.03043247066908, -114.10447784868477 51.030432528333826, -114.10405554537486 51.03043289701637, -114.10341951287049 51.03043344990939, -114.10281060992243 51.030433974578415, -114.10207436900596 51.030434606465775, -114.10171464045855 51.03043491291703, -114.0996038962341 51.03043669677905, -114.09948912227277 51.03043679364418, -114.09823286997046 51.03043783836751, -114.09708946982994 51.030438776785765, -114.09591743458392 51.03043972752279, -114.09468337045591 51.03044071677687, -114.09468345500039 51.02997983069132, -114.09468354004262 51.02952268520762, -114.09468362575713 51.029060269890174, -114.09468371051017 51.028604377506994, -114.09468379491726 51.02814061635031, -114.09468382853797 51.02796049926169, -114.09468924760702 51.027677405475416, -114.09468720814397 51.027400564704365, -114.09468963293985 51.02722073152982, -114.09469002053386 51.02675957075561, -114.09469056624373 51.02611153958719, -114.09469079288539 51.025840756905936, -114.09469156370137 51.02492119226677, -114.09469195771584 51.02446108760251, -114.09469234923003 51.02400255521421)))"
BRT,BRITANNIA,Residential,11,SW,9,5,4,153,1,109,22,2,9,314,"3,216","503,175","MULTIPOLYGON (((-114.0785887477753 51.01624154125199, -114.07865208369122 51.01595372052757, -114.07868280220407 51.01580897698433, -114.0787106874092 51.01567525051502, -114.07873858104965 51.015547441103394, -114.07878142914969 51.01539713995884, -114.07882431967977 51.015272870473105, -114.0788876863751 51.01508966183218, -114.07893619051102 51.014960654490174, -114.07896936115525 51.01484838207719, -114.07913260270574 51.01440266076615, -114.07931233275747 51.013911910767206, -114.07947011917442 51.013479298818766, -114.07964107845967 51.01301056298819, -114.07980154004427 51.01273613564481, -114.07990961781528 51.01260819109074, -114.08035089269423 51.01222035054813, -114.08078244905101 51.01184104453934, -114.08129866399116 51.01138731902085, -114.0813268754494 51.011315578872036, -114.08134996949151 51.01123404880468, -114.08136148225347 51.01117372021863, -114.0813717067637 51.011115838648955, -114.08137931770962 51.01103839442451, -114.08137897302534 51.010957062262655, -114.08137967873536 51.010498792069434, -114.0813793513335 51.01004786272196, -114.08137903372544 51.00960985255885, -114.08137281433687 51.00916883848915, -114.08136631026159 51.00870756698973, -114.08151754780359 51.00871629224936, -114.08176762132864 51.00871898796027, -114.08308398652106 51.00871261515996, -114.0835727947251 51.008711313653954, -114.08374825136492 51.00870742040894, -114.0846370691712 51.00870675391368, -114.08571143162064 51.00870733722015, -114.08570901993482 51.008729403531824, -114.08571062895527 51.008760462078776, -114.08571948240193 51.008793798718095, -114.08572393934486 51.008815263068584, -114.0857385739248 51.00884630306812, -114.08575322219438 51.00887780153494, -114.08576783750901 51.008906100557496, -114.08578535747891 51.00893392997648, -114.0857897523308 51.00894488530448, -114.085810163062 51.008970886770705, -114.0858261899176 51.00899187604931, -114.08584518694397 51.009024728767876, -114.0858590966324 51.00905668714138, -114.08587158416174 51.00909092906597, -114.08588696832838 51.009126526318255, -114.08590162327813 51.00916076754505, -114.08591625496669 51.00919089056408, -114.08592656211445 51.00922422611642, -114.08594844920859 51.00925479418393, -114.08597321164196 51.009284434183236, -114.08600667717141 51.009319093064114, -114.08603218405455 51.00935056552083, -114.086056219599 51.0093792980685, -114.08609475673794 51.009413944198585, -114.08613545200451 51.0094435553416, -114.08618990342434 51.00947588023054, -114.0862392948285 51.009508216919386, -114.08627419146018 51.00953829886325, -114.08630184274594 51.00956566224181, -114.0863251552143 51.009596220194524, -114.08637021801592 51.00962947698373, -114.0864259973337 51.00964079164226, -114.0864738670701 51.00965850296924, -114.08651745579493 51.009689028795265, -114.08656179378727 51.00972320300531, -114.08660320467567 51.00975418799263, -114.08664103087739 51.009789284855856, -114.08666718492356 51.00980750574244, -114.08671293904607 51.00983757140948, -114.08675365955514 51.00987266518886, -114.08680663164591 51.009899047737015, -114.0868501749697 51.00991952288736, -114.08689738279628 51.009949577512366, -114.08694748399341 51.00997917238498, -114.08700046288675 51.010008305715175, -114.08704691622344 51.010031053041736, -114.08710203413892 51.01005332642225, -114.08715427646389 51.01007788442894, -114.08720656419571 51.01011066893399, -114.08724873711316 51.01014485348674, -114.08729808944855 51.010170789024315, -114.0873466674318 51.01018576746644, -114.08739451640704 51.010200287055355, -114.08744963210303 51.010221184835366, -114.08749172078143 51.01024074297691, -114.08753524904994 51.010261216983196, -114.08758608031457 51.010292177481524, -114.08764123793554 51.01032085130647, -114.08768767130738 51.010339480170124, -114.08773552543208 51.01035583353208, -114.08778193945255 51.01037172138624, -114.08783709728858 51.01040039511824, -114.08789006943738 51.010425410725254, -114.08793286696464 51.010443592736515, -114.08797709743968 51.01045766621891, -114.08802276546439 51.01047082074425, -114.088077126932 51.0104844190876, -114.08812785148905 51.01049710229127, -114.08818075256856 51.010507042843976, -114.0882307910669 51.010526127249825, -114.08827431266683 51.01054202518284, -114.08832433233931 51.010557910097184, -114.08837289159642 51.01057014624064, -114.08842652216471 51.010581451679094, -114.08846783926599 51.01059279338557, -114.08851929223164 51.01060547676664, -114.08856495620594 51.010616347676724, -114.08860916526312 51.01062722057126, -114.08865556299571 51.01064174074339, -114.08870268403605 51.01065443632004, -114.0887498068332 51.01066803894594, -114.08879620585171 51.01068393449875, -114.08884844859524 51.01070712619664, -114.08889124675615 51.01072530785565, -114.0889463815026 51.010748037931386, -114.0889928015921 51.01076667617417, -114.08904286250595 51.01078896057897, -114.08909657970607 51.010816258475984, -114.08915244580082 51.010841272201574, -114.08920760589893 51.01087039387335, -114.08926273745342 51.01089129078403, -114.08930635218299 51.01092638145726, -114.08932741708689 51.01094278969765, -114.08937535836701 51.01097420920394, -114.08942033550626 51.01099147204347, -114.08947114492207 51.01101741543371, -114.08951185252863 51.01105159039817, -114.08956341307844 51.01108346643233, -114.08960983286472 51.01110164505118, -114.08965916184185 51.01112164634616, -114.0897135901921 51.01114711039485, -114.08975855393113 51.01116392362469, -114.08980642684946 51.01118255053835, -114.08986084023091 51.01120756414142, -114.08990654720206 51.01122620166938, -114.08994791547406 51.011248043782516, -114.08999007187985 51.011279484568654, -114.0900315001337 51.01131091780963, -114.09007363886955 51.011340534551124, -114.09010853526459 51.011369239005184, -114.09014853290766 51.011404332150704, -114.09018996814021 51.01143851620428, -114.09022197008669 51.01146631488959, -114.09025541456977 51.011495030309014, -114.09028092641265 51.01152696030285, -114.0903042585107 51.011558434395376, -114.09033266912262 51.011592645543104, -114.0903509062493 51.01162093129141, -114.09039959794829 51.011656467116126, -114.09042380150854 51.011682392912675, -114.09046928565375 51.01170993028023, -114.09049238399905 51.01172369373701, -114.09051464867193 51.0117557439595, -114.09055139588712 51.0117905688902, -114.09059904629169 51.01181810452802, -114.09064960157522 51.01184519739326, -114.09070241079421 51.011858121482874, -114.09075884950413 51.011868776404484, -114.09079213540696 51.01187434309218, -114.09084565671175 51.011887733133634, -114.09088467857406 51.01190428085409, -114.09093093180093 51.0119240502676, -114.09096922552094 51.01194059852635, -114.09101040289467 51.01195897844296, -114.09105232134775 51.01197736675732, -114.09110723201685 51.01200080617692, -114.09115715612383 51.012010990425466, -114.0912129021201 51.012017069866886, -114.09126064733506 51.01202724588325, -114.09131489393125 51.01203971908386, -114.09136271739739 51.01203892745845, -114.09141775617968 51.012040431554006, -114.09146477737308 51.01205197539982, -114.09152114012895 51.01207451450947, -114.09157103423875 51.01209108944343, -114.09162381025507 51.01210858804428, -114.09166934694966 51.01212606533139, -114.09171125192877 51.01214536138789, -114.09176185834652 51.012161027712764, -114.09181609079504 51.01217990141907, -114.0918637701393 51.012200585401125, -114.09189338624797 51.01221665472969, -114.09194903595463 51.0122387267243, -114.09199891704941 51.012255759964475, -114.09204302262906 51.012270037868646, -114.09209797848777 51.012287085947506, -114.09214280911023 51.01230045437516, -114.09219123857616 51.012318397545094, -114.09223533546036 51.012335416369034, -114.09229170954558 51.012356122079865, -114.0923365309516 51.01237268181421, -114.09239290785992 51.01239476291109, -114.0924442115187 51.012416820126056, -114.09248902243623 51.01243521462526, -114.09253239092938 51.01245131695522, -114.0925822526741 51.012472008803854, -114.09263719875375 51.012491797621955, -114.0926870914962 51.01250654715308, -114.092736250106 51.01252402924123, -114.09278900818941 51.01254564375166, -114.09282805340567 51.01255898954054, -114.09287719042102 51.01258058890805, -114.0929173039148 51.01260433949429, -114.08899117757858 51.014557142902504, -114.08756338225054 51.01529493412332, -114.08723475461187 51.0154088736728, -114.08648212912145 51.015311057939414, -114.08639162468015 51.01518470159903, -114.08612571297434 51.015250712075236, -114.08581112389203 51.015342063934185, -114.08551739697114 51.01544216651253, -114.0851529764006 51.01558829002766, -114.08479458155597 51.01593577190501, -114.08469780972871 51.01596589492038, -114.08440500640104 51.01596590001804, -114.08436740374832 51.015931747131894, -114.08379597359858 51.01618153568194, -114.08326365404872 51.01641428580139, -114.08326363398257 51.01641899735878, -114.08320310615764 51.0164230804784, -114.08295919066995 51.0164395334882, -114.08260004518374 51.01646405491598, -114.08234708926699 51.01648132301698, -114.08142102126459 51.01622677909564, -114.0806995220416 51.01587511397876, -114.07983690567845 51.01580096549338, -114.07977695110091 51.01607655216837, -114.07921727186329 51.01602913426913, -114.07910182932298 51.01657200632687, -114.07840005588609 51.01664232085666, -114.07847263222234 51.01654232018981, -114.07852609959352 51.0164290328405, -114.0785535666191 51.01635351372353, -114.0785887477753 51.01624154125199)))"
COR,CORAL SPRINGS,Residential,5,NE,3,24,24,"1,175",0,150,152,4,18,"1,553","5,445","1,817,227","MULTIPOLYGON (((-113.92032671359041 51.11063667722243, -113.91998537389904 51.10918217397217, -113.91932278253466 51.10623234179841, -113.91911787530918 51.10518751051292, -113.91905131421113 51.10469939522487, -113.91892208878564 51.103964666694544, -113.91876055011727 51.10295407542655, -113.91873320802189 51.10272612577405, -113.91871041181024 51.10250748804454, -113.91868950850493 51.10228920041685, -113.91867045597593 51.1020708457432, -113.9186532527599 51.10185242941721, -113.91863790024433 51.101633959531384, -113.91862439982309 51.10141544058224, -113.9186127514573 51.10119687976208, -113.918602967439 51.10097858003115, -113.91858161776622 51.1004623418018, -113.91856438252091 51.09994577377114, -113.91855127249184 51.09942915822352, -113.91854228752062 51.09891250684676, -113.91853742887174 51.09839583402615, -113.91853669638513 51.097879152347666, -113.91854009132841 51.09736247439777, -113.91854761081407 51.09684573994349, -113.91856381405428 51.096164281452054, -113.91856972466837 51.096065837154484, -113.91858541728844 51.09606584538535, -113.9207547851484 51.096066896192525, -113.93415115157009 51.09607249589633, -113.93512706148445 51.09607565022637, -113.93501896729096 51.110544072884835, -113.93511713864535 51.110639695279396, -113.93497556396781 51.11063528184052, -113.92923685267218 51.11063589371762, -113.92072926655658 51.110636665829304, -113.92033845535047 51.110636676232225, -113.92032671359041 51.11063667722243)))"
